Filename,Title,Authors,Year,Summary
bryant_2014.pdf,The Effects of a Tier 3 Intervention on the Mathematics Performance of Second Grade Students With Severe Mathematics Difficulties,Brian R. Bryant; Diane Pedrotty Bryant; Jennifer Porterfield; Minyi Shih Dennis; Terry Falcomata; Courtney Valentine; Chelsea Brewer; Kathy Bell,2016,"The study examined the effectiveness of a systematic, explicit, and intensive Tier 3 intervention on the mathematics performance of second-grade students with severe mathematics difficulties. The intervention focused on improving students' number and operations concepts and procedures, which are foundational for later mathematics success. The results showed significant improvements in mathematics performance for most students, allowing them to exit the Tier 3 intervention."
Bryant_et_al._2008.pdf,THE EFFECTS OF TIER 2 INTER VENTION ON THE MATHEMA TICS PERFORMANCE OF FIRST -GRADE STUDENTS WHO ARE A T RISK FOR MATHEMA TICS DIFFICUL TIES,Diane Pedrotty Bryant; Brian R. Bryant; Russell M. Gersten; Nancy N. Scammacca; Catherine Funk; Amanda Winter; Minyi Shih; Cathy Pool,2008,The article presents the results of a study that examined the effects of Tier 2 intervention on the performance of first-grade students who were identified as at risk for mathematics difficulties. The study found a significant intervention effect on the Texas Early Mathematics Inventories-Progress Monitoring (TEMI-PM) total standard score for the Tier 2 students who received 20-minute intervention booster lessons in number and operation skills and concepts for 23 weeks.
EBSCO_2025.pdf,The Development of Automatic Numerosity Processing in Preschoolers: Evidence for Numerosity–Perceptual Interference,Laurence Rousselle; Marie-Pascale Noël,2008,"This research examines the development of automatic processing of numerosity and perceptual information in preschoolers using a numerical Stroop paradigm. The results show that reciprocal influences between numerical and perceptual information exist from as early as age 3, and the sensitivity to irrelevant numerical cues tends to increase with age despite children's growing inhibition capacities. The study suggests that automatic numerosity processing starts to emerge earlier in development than previously thought."
ED_6041.pdf,Performance Differences on a Measure of Mathematics Vocabulary for English Learners and Non-English Learners With and Without Mathematics Difficulty,Sarah R. Powell; Katherine A. Berry; Le M. Tran,2020,"The study examined the mathematics vocabulary performance of 3rd grade students, including English Learners (ELs) and non-ELs with and without mathematics difficulty (MD). Results showed that ELs scored lower than non-ELs across all groups, and both ELs and non-ELs with equation and word-problem difficulty demonstrated lower performance on the mathematics vocabulary measure than students with only equation or word-problem difficulty. The findings indicate that ELs and students with MD have limited mathematics vocabulary knowledge and may require focused instruction on the language of mathematics."
EJ_1064.pdf,"Cognitive Strategies, Working Memory, and Growth in Word Problem Solving in Children With Math Difficulties",H. Lee Swanson; Catherine M. Lussier; Michael J. Orosco,2015,"This study investigated the role of strategy instruction and working memory capacity (WMC) on word problem solving accuracy in children with and without math difficulties (MD). The findings suggest that the availability of ample WM resources is an important precondition for strategy training to be successful for children with MD, as strategies are resource demanding and can easily overtax children with relatively smaller WMCs, leading to poorer learning outcomes. The study found that when WMC was set to a relatively high level, children with MD performed significantly better under visual-only strategy conditions, while children without MD performed better under verbal + visual conditions, compared to control conditions."
Leh_2013.pdf,Effects of Computer-Mediated Versus Teacher-Mediated Instruction on the Mathematical Word Problem-Solving Performance of Third-Grade Students With Mathematical Difficulties,Jayne M. Leh; Asha K. Jitendra,2013,"This study compared the effectiveness of computer-mediated instruction (CMI) and teacher-mediated instruction (TMI) on the word problem-solving performance of third-grade students struggling in mathematics. Both conditions integrated cognitive modeling that focused on the problem structure using visual representations. The results showed no statistically significant differences between the two conditions at posttest and on a 4-week retention test of word problem-solving. Furthermore, there was no transfer of the word problem-solving skills to a standardized mathematics achievement test."
Leh_2013_2.pdf,Effects of Computer-Mediated Versus Teacher-Mediated Instruction on the Mathematical Word Problem-Solving Performance of Third-Grade Students With Mathematical Difficulties,Jayne M. Leh; Asha K. Jitendra,2013,"This study compared the effectiveness of computer-mediated instruction and teacher-mediated instruction on the word problem-solving performance of students struggling in mathematics. Both conditions integrated cognitive modeling that focused on the problem structure using visual representations with critical instructional elements specifically targeting the needs of at-risk students. The results showed no statistically significant between-condition differences at posttest and on a 4-week retention test of word problem-solving, and no transfer of the word problem-solving skills to a standardized mathematics achievement test."
nihms_1503.pdf,"The Effects of Strategic Counting Instruction, with and without Deliberate Practice, on Number Combination Skill among Students with Mathematics Difficulties",Lynn S. Fuchs; Sarah R. Powell; Pamela M. Seethaler; Paul T. Cirino; Jack M. Fletcher; Douglas Fuchs; Carol L. Hamlett,2010,"This study assessed the effects of strategic counting instruction, with and without deliberate practice, on number combination (NC) skill among students with mathematics difficulties (MD). The results showed that strategic counting without deliberate practice produced superior NC fluency compared to control, while strategic counting with deliberate practice effected superior NC fluency and transfer to procedural calculations compared to both competing conditions. The study also replicated the efficacy of the Pirate Math word-problem tutoring program."
nihms_2749.pdf,Solving Word Problems using Schemas: A Review of the Literature,Sarah R. Powell,2011,"This review highlights two schema approaches for 2nd- and 3rd-grade students at-risk for or with learning disabilities: schema-based instruction and schema-broadening instruction. A total of 12 schema studies were reviewed and synthesized. Both types of schema approaches enhanced the word-problem skill of students at-risk for or with learning disabilities. Based on the review, suggestions are provided for incorporating word-problem instruction using schemas."
nihms_3679.pdf,Early Numerical Competencies and Students with Mathematics Difficulty,Dr. Sarah R. Powell; Dr. Lynn S. Fuchs,2012,"This article describes important early numerical competencies, such as understanding of numbers, counting, number recognition, and basic mathematical concepts. It highlights the importance of these foundational skills for later mathematics achievement, and discusses the difficulties that some students face in developing these early numerical competencies. The article also provides recommendations for explicit, conceptual, and motivational instruction to help students who struggle with mathematics."
