Filename_1,Filename_2,Title,Authors,Year,Relevance Score,Research Category,Summary,Tags,DOI/URL,One-on-One Applicability,Small Group Applicability,Large Group Applicability,Self Education Applicability,Sections Analyzed,Input Tokens,Output Tokens,Estimated Cost
Albratty2025.pdf,Albratty2025,"Natural Products for Drug Discovery in Cognitive Disabilities: Bibliometric Hotspots, Research Trends, Conceptual Framework, and Future Directions",Mohammed Albratty; Maryam Halawi; Ali Mufraih Albarrati,2025,4,supportive,"This article looks at how natural products might help with cognitive disabilities, which include things like dyslexia and ADHD. While it doesn't focus specifically on dyscalculia, it shows growing interest in natural therapies for brain-related challenges. Educators might find this useful for understanding broader trends in learning disability research.",cognitive disabilities; natural products; research trends; therapeutic development,https://doi.org/10.3390/ph18070983,n/a,n/a,n/a,n/a,Header/Title; Footer; Abstract; Introduction; Discussion/Conclusion,639,102,0.007990
Ali2025.pdf,Ali2025,Developing an explainable machine learning and fog computing-based visual rating scale for the prediction of dementia progression,Zainab H. Ali; Esraa Hassan; Shimaa Elgamal; Nora El-Rashidy,2025,3,supportive,"This study focuses on using technology to detect brain diseases like Alzheimer's and Parkinson's early. While it doesn't directly address dyscalculia, it shows how tech can help spot cognitive issues early, which might someday apply to learning disabilities. The research uses various tests and machine learning to predict these conditions, which could inspire similar approaches for dyscalculia.",cognitive impairment; early detection; machine learning; neuroscience,https://doi.org/10.1038/s41598-025-06310-4,n/a,n/a,n/a,n/a,Header/Title; Footer; Abstract; Discussion/Conclusion,690,113,0.010015
Alkahtani2025.pdf,Alkahtani2025,Dual Attention-Based recurrent neural network and Two-Tier optimization algorithm for human activity recognition in individuals with disabilities,Hend Khalid Alkahtani; Gouse Pasha Mohammed; Radwa Marzouk,2025,4,supportive,"This study introduces a new method called DATTMOA-HARD to help disabled people by improving something called HAR (Human Activity Recognition). They use steps like normalizing data and selecting features to make it work. While this isn't directly about dyscalculia, it shows how technology can assist people with disabilities, which might inspire similar tools for math learning challenges.",technology; disability support; data analysis; feature selection,https://doi.org/10.1038/s41598-025-12283-1,n/a,n/a,n/a,n/a,Header/Title; Footer; Discussion/Conclusion,611,107,0.006714
Asonitou2025.pdf,K.2025,"Developmental Coordination Disorder in Preschool-Aged Children: A Neuropsychological Perspective on Visuospatial Working Memory and Attentional, Planning, and Decision-Making Processing in Relation to Fundamental Movement Skills","Asonitou, K.; Koutsouki, D.; Kourtessis, T.; Kambas, A.",2025,4,supportive,"This research looks at how kids with motor coordination issues (DCD) perform on tasks involving memory, attention, and decision-making compared to their peers. While it doesn't focus on dyscalculia, it shows connections between motor skills and cognitive functions that might help us understand learning challenges. Educators could use these insights to support kids who struggle with both movement and learning.",executive function; working memory; attention; motor skills; cognitive development,https://doi.org/10.3390/children12091118,n/a,n/a,n/a,n/a,Header/Title; Footer; Abstract; Introduction; Discussion/Conclusion,630,122,0.008359
Assuras2025.pdf,Assurasa2025,Childhood maltreatment confers long-term risk for cognitive impairment: A prospective investigation,"Stephanie Assurasa; Kellie Courtneyb; Molly Maxfieldc; Shaina Shagalowd; Sara Shererd; Jennifer J. Manlye; Cathy Spatz Widomb,f",2025,1,supportive,"This study looks at how childhood abuse affects brain function later in life, but it doesn't specifically address math learning or dyscalculia. It found that mistreated kids might have more thinking problems as adults. While it's important for understanding brain health, it doesn't directly help with math difficulties.",childhood trauma; cognitive development; neuropsychology; long-term effects,Not found,n/a,n/a,n/a,n/a,Header/Title; Footer; Abstract; Introduction; Discussion/Conclusion,638,101,0.007459
Avşar2024.pdf,Avşar2024,Evaluation of primary markers of inflammation and the systemic inflammation index in specific learning disabilities,Pınar Aydoğan Avşar; Tayfun Kara; Orhan Kocaman; Merve Akkuş,2024,4,supportive,"This study looked at inflammation markers in kids with learning disabilities, including math difficulties. They found higher inflammation levels in these kids compared to healthy peers. While not directly about math skills, this research hints that body-wide inflammation might play a role in learning challenges. Understanding this connection could eventually help develop new treatments.",learning disabilities; inflammation; biomarkers; neuroscience,10.1080/17520363.2024.2404387,n/a,n/a,n/a,n/a,Header/Title; Footer; Abstract; Introduction; Discussion/Conclusion,781,109,0.009456
Azad2025.pdf,Azada2025,Hypertension control in resource-constrained settings: Bridging socioeconomic gaps with predictive insights,Md Abul Kalam Azada; Md Abu Sufian; Lujain Alsadder; Sadia Zaman; Wahiba Hamzi; Amira Ali; Md. Zakir Hossain; Boumediene Hamzi,2025,0,supportive,This article focuses on hypertension trends in South Asia rather than dyscalculia or math learning. It discusses regional differences in hypertension rates and doesn't address math skills or learning disabilities.,hypertension; cardiovascular disease; public health; epidemiology,Not found,n/a,n/a,n/a,n/a,Header/Title; Footer; Abstract; Introduction; Discussion/Conclusion,713,107,0.007320
Bachhav2025.pdf,AK2025,Challenges in disability certification in psychiatry in India,Bachhav AK; Sharma HB; Singhai KM,2025,4,supportive,"This study discusses the difficulties in certifying psychiatric disabilities in India, including issues with online platforms and proper categorization. While it touches on learning disabilities, the focus isn't specifically on dyscalculia or math-related challenges. It's more about the broader system of disability certification.",disability certification; psychiatry; learning disabilities; India,10.4103/indianjpsychiatry_959_24,n/a,n/a,n/a,n/a,Header/Title; Footer; Abstract; Introduction; Discussion/Conclusion,661,75,0.007712
Brown2025.pdf,Brown2025,"Barriers, facilitators and solutions to equitable career progression for disabled doctors: an integrative review",Megan E L Brown; Bryan Burford; Gillian Vance,2025,0,supportive,"This study looks at the challenges faced by disabled doctors in their careers, focusing on barriers like stigma and inadequate support. While it's about disabilities in a professional setting, it doesn't specifically address math learning difficulties or dyscalculia. However, it does highlight systemic issues that might be relevant in other educational contexts.",disability; career barriers; medical education; inclusion,10.1136/bmjopen-2025-106639,n/a,n/a,n/a,n/a,Header/Title; Footer; Abstract; Introduction; Discussion/Conclusion,654,91,0.008479
Bilić2024.pdf,Bilić2024,The Effect of Anesthesia on Postoperative Cognitive Dysfunction,Miro Bilić; Martina Lukšić; Martina Miklić Bublić; Zrinka Orešković; Davor Mijatović; Vilena Vrbanović Mijatović,2024,1,supportive,"This study looks at how surgery affects thinking skills, especially after using different anesthesia types. They found that many patients had trouble with memory or attention after surgery, but this wasn't specifically about math skills or dyscalculia. It's important for understanding brain function after medical procedures, but doesn't directly address math learning challenges.",cognitive function; postoperative cognitive dysfunction; anesthesia; brain health,10.20471/acc.2024.63.03-04.33,n/a,n/a,n/a,n/a,Header/Title; Footer; Abstract; Introduction; Discussion/Conclusion,663,121,0.009123
