PMC_ID,Title,Relevance_Score,Abstract_Preview
PMC12503033,Identifying and subtyping dyscalculia in a sample of children with and without dyscalculia — a data-...,70,"Dyscalculia is a very heterogeneous disorder. This is illustrated by the fact that numerous possible subtypes have been described in previous studies. Therefore, the present study addresses the questi..."
PMC12231410,The Role of Executive Function in the Co-occurrence of ADHD and Developmental Dyscalculia in Chinese...,40,This study aimed to elucidate the characteristics of executive function deficits in children with Attention-deficit/hyperactivity disorder (ADHD) comorbid with developmental dyscalculia (ADHD+DD). Thr...
PMC12308021,High-field fMRI at 7 Tesla reveals topographic responses tuned to number in the developing human bra...,40,"In the adult brain, hemodynamic responses to visually presented numerosities reveal receptive field-like tuning curves in topographically organized maps across association cortices. It is currently un..."
PMC12241927,Assessment of Knowledge of Learning Disabilities and Workshop for Palestinian Primary School Teacher...,30,"  A Four-session workshop was held at Terra Santa College in Bethlehem from December 2024 to January 2025, provided by a speech therapist and a psychiatry resident, with the support of Pro Terra Sanct..."
PMC12350621,Distinct neural representational changes following cross-format number tutoring in children with mat...,30,"Children with mathematical difficulties (MD) often struggle to connect abstract numerical symbols with corresponding nonsymbolic quantities, a foundational skill for mathematical development. We evalu..."
PMC12431670,Visual enumeration remains challenging for multimodal generative AI,20,"Many animal species can approximately judge the number of objects in a visual scene at a single glance, and humans can further determine the exact cardinality of a set by deploying systematic counting..."
PMC12484368,Diverging roles of domain-specific anxieties in number-space associations. Insights from a multi-dir...,20,"Rapidly evolving scientific, technological and societal advancements depend on those who are accomplished in mathematics, so uncovering the underpinnings of maths performance remains a valuable topic ..."
PMC12369395,Research on mathematics anxiety in primary school: bibliometric analysis and evaluation of trends,15,"Mathematics anxiety is a persistent barrier to effective learning, particularly in primary education. Understanding how this phenomenon has evolved in academic literature can help guide educational st..."
PMC12361590,A Dotted ,10,Working memory (WM) is a critical cognitive system that supports processing a variety of information. Remembering different types of objects may impose different levels of cognitive demands on WM perf...
PMC12488995,"Children with and without reading difficulty value robot reading companions that are smart, supporti...",10,"As social robots are being increasingly deployed in educational settings, it is critically important to understand which design features make robots most likely to be accepted by children and to deliv..."
PMC12507287,The association between mental health and cognitive ability: Evidence from the Understanding Society...,10,"The relationship between poor mental health and cognitive impairments in older age is well-established. Social engagement also influences cognitive ability. However, current research has not simultane..."
PMC11391300,How bipedalism shapes humans’ actions with hand tools,5,"The task for an embodied cognitive understanding of humans’ actions with tools is to elucidate how the human body, as a whole, supports the perception of affordances and dexterous action with objects ..."
PMC11561397,Cortical Surface Area Profile Mediates Effects of Childhood Disadvantage on Later-Life General Cogni...,5,"Childhood disadvantage is associated with lower general cognitive ability (GCA) and brain structural differences in midlife and older adulthood. However, the neuroanatomical mechanisms underlying chil..."
PMC12267627,Developing an explainable machine learning and fog computing-based visual rating scale for the predi...,5,"Recently, dementia research has primarily concentrated on using Magnetic Resonance Imaging (MRI) to develop learning models in processing and analyzing brain data. However, these models often cannot p..."
PMC12271598,Effects of digital interventions on neuroplasticity and brain function of individuals with developme...,5,"Developmental disabilities (DDs) impact individuals' cognitive, psychological, and motor functions, and result in specific neural differences. Interventions to enhance neuroplasticity are important fo..."
PMC12279094,Diversity in Education Study (DivES): Investigating a neurodiversity module in higher education,5,"Roughly 20% of adults identify as neurodivergent – an umbrella term used to describe cognitively atypical individuals. Neurodivergent identities manifest in several forms including autism, attention d..."
PMC12300366,"Natural Products for Drug Discovery in Cognitive Disabilities: Bibliometric Hotspots, Research Trend...",5,
PMC12315561,Assessment of microstructural abnormalities in gray and white matter of minimal hepatic encephalopat...,5,"Although neural activity abnormalities have been reported in cirrhosis patients with minimal hepatic encephalopathy (MHE), the neurophysiological mechanisms underlying microstructural brain alteration..."
PMC12319176,Academic self‐concept and reading comprehension among students with learning disabilities: Serial me...,5,"Students with learning disabilities often struggle to achieve expected academic performance despite average or above‐average intelligence. Reading comprehension, a cognitive process involving multiple..."
PMC12334718,"Specificity, Co-Occurrence, and Growth: Math and Reading Skill Development in Children With Learning...",5,"Learning disabilities are challenging to characterize because they evolve throughout development, frequently co-occur, and have varying domain specificity. Addressing these challenges, we analyzed lon..."
PMC12427648,"Brain Tumors, AI and Psychiatry: Predicting Tumor-Associated Psychiatric Syndromes with Machine Lear...",5,Brain tumors elicit complex neuropsychiatric disturbances that frequently occur prior to radiological detection and hinder differentiation from major psychiatric disorders. These syndromes stem from t...
PMC12432833,Functional specialization for language processing in inferior frontal regions during early childhood...,5,"Early language acquisition represents a fundamental achievement in cognitive development, yet the neural mechanisms underlying this process remain debated, particularly whether specialized language re..."
PMC12436684,Metabolic Factors Related to Interpersonal Dysfunction in Acromegaly: A Nationwide Cross‐Sectional S...,5,"To identify the clinical manifestations, metabolic factors, and comorbidities independently associated with interpersonal dysfunction in Chinese acromegaly patients. We analyzed clinical, cognitive, a..."
PMC12464058,IQ variability and cognitive life skills: insights from Spanish students in vocational physical acti...,5,"The increasing social and labor demand for technical professionals underscores the importance of vocational education in preparing students for the workforce. In the context of vocational education, P..."
PMC12468564,Developmental Coordination Disorder in Preschool-Aged Children: A Neuropsychological Perspective on ...,5,"
 Preschool children with DCD show significant deficits in attention, visuospatial processing, and planning compared to typically developing peers. Receptive attention and simultaneous processing scor..."
PMC12488707,Hemoglobin-to-red blood cell distribution width ratio in the relationship between occupational alumi...,5,To investigate the partial mediating role of the inflammatory marker hemoglobin-to-red cell distribution width ratio (HRR) in the association between occupational aluminum exposure and cognitive funct...
